utt|gt_text|prompt_wav|prompt_text
G0001_0230|天津轻轨坐轻轨哪下车再倒车到外滩|WAV/G0001/G0001_0091.wav|冬天手冻下来该怎么办
G0001_0368|是玉米先为难凉粉还是凉粉先为难玉米|WAV/G0001/G0001_0189.wav|电脑需要接地线吗
G0001_0419|天和地，总统和农民他们是平等的关系吗|WAV/G0001/G0001_0461.wav|联想的售后服务怎么样
G0001_0580|傻、贵用五笔怎么怎么打出来|WAV/G0001/G0001_0589.wav|为什么我还找不到工作
G0001_0661|我想了解冬季游吉林的费用，本人现在长沙|WAV/G0001/G0001_0615.wav|勾股定理是谁创建的!
G0003_0051|最大，最小，最浅，最咸，最淡的海分别是什么海|WAV/G0003/G0003_0176.wav|什么光合作用
G0003_0283|汉人和回人相爱真的是罪过吗不可以吗|WAV/G0003/G0003_0187.wav|现在有球看吗
G0003_0433|找到创世纪企业王国游戏下载地址|WAV/G0003/G0003_0663.wav|怎样扩充字库
G0003_0439|哪里可以买到新人教版初中数学学案|WAV/G0003/G0003_0665.wav|王治郅的最新消息
G0003_0466|做保险公司的内勤都需要掌握什么知识|WAV/G0003/G0003_0678.wav|中国最著名什么
G0007_0210|玩四驱车的秘籍方法怎么成为四驱车高手|WAV/G0007/G0007_0005.wav|小黎是谁演嘞
G0007_0294|主板会引起开机后五六分钟自动关机吗|WAV/G0007/G0007_0069.wav|如何安全的清理系统？
G0007_0565|我想折纸盒装垃圾有制作方法的网站吗|WAV/G0007/G0007_0214.wav|最先进的手机
G0007_0628|北京哪个医院确诊女性乳房疼痛病比较好|WAV/G0007/G0007_0270.wav|看那部电影你哭了
G0007_0646|从辽阳到合肥工业大学如何走哪个更好|WAV/G0007/G0007_0598.wav|狗狗感冒了怎么办
G0008_0016|天津哪里有卖四叶草项链最便宜的多少钱|WAV/G0008/G0008_0117.wav|离岸基金是什么意思
G0008_0054|国内有哪些生产小型秸杆板材设备的厂家|WAV/G0008/G0008_0192.wav|周杰伦哪首歌最拗口
G0008_0059|大小苏打是什么化学式用什么用区别|WAV/G0008/G0008_0232.wav|冬天怎样养小金鱼
G0008_0128|春蚕到死丝方尽，蜡炬成灰泪始干打一成语|WAV/G0008/G0008_0311.wav|到哪里找按摩师等
G0008_0141|医院哪些科室的利润高我知道眼科和口腔|WAV/G0008/G0008_0634.wav|什么是反向开关
G0051_0081|为什么正月的正读做一声|WAV/G0051/G0051_0506.wav|怎样可以使我长高
G0051_0423|神六成功与获诺贝尔奖哪个更有意义|WAV/G0051/G0051_0506.wav|怎样可以使我长高
G0051_0456|河大的转接本录取的是多少|WAV/G0051/G0051_0506.wav|怎样可以使我长高
G0051_0591|现在如何杭州要什么条件本科可以吗|WAV/G0051/G0051_0506.wav|怎样可以使我长高
G0051_0613|怎么样把别的网页的值递交给表单|WAV/G0051/G0051_0506.wav|怎样可以使我长高
G1100_0114|有贝碧冰的眼彩着哩和胭脂着哩怎么样啊|WAV/G1100/G1100_0029.wav|人生最悲惨的是什么
G1100_0114|有贝碧冰的眼彩着哩和胭脂着哩怎么样啊|WAV/G1100/G1100_0086.wav|热牛奶为什么结冰块儿
G1100_0364|夏天海边昼夜温差大还是内陆昼夜温差大|WAV/G1100/G1100_0282.wav|教我扣篮的技巧
G1100_0364|夏天海边昼夜温差大还是内陆昼夜温差大|WAV/G1100/G1100_0630.wav|手机上号儿是否换卡
G1100_0364|夏天海边昼夜温差大还是内陆昼夜温差大|WAV/G1100/G1100_0665.wav|二手的电脑硬件儿耐用吗
G1103_0052|第二次工业革命用英语怎么说|WAV/G1103/G1103_0119.wav|有哪些免费网游
G1103_0480|自己家的电脑怎么把老录像带刻成光盘|WAV/G1103/G1103_0337.wav|节食可以减肥吗
G1103_0594|请问唯一与惟一的区别，最好举例说明|WAV/G1103/G1103_0416.wav|为什么卸载不了呢
G1103_0665|怎么知道男方那是不是处男啊一样吗|WAV/G1103/G1103_0439.wav|早晨学什么最好
G1103_0690|抗日战争时期陕甘宁边政府主席是谁|WAV/G1103/G1103_0607.wav|仓鼠通人性吗
G1105_0063|怎样使皮肤变白？不用化妆品和药方便快捷|WAV/G1105/G1105_0054.wav|瘦弱可以治疗吗
G1105_0096|怎样使大小腿的毛孔变小|WAV/G1105/G1105_0203.wav|梦幻怎么进行转区
G1105_0141|单眼皮适合戴粉色眼镜片吗 树脂眼镜片|WAV/G1105/G1105_0311.wav|宝立龙是什么东西呀
G1105_0255|给我提供些查各种币值比页的网站好吗|WAV/G1105/G1105_0385.wav|正数是怎么来的
G1105_0576|北京哪有批发漫画的 最好在西西四环以内|WAV/G1105/G1105_0531.wav|六级分数什么时候出来
G1106_0001|哪个网站上有圣帝魅力坚广告看啦|WAV/G1106/G1106_0246.wav|无记名股票概念
G1106_0159|为什么我的迪奥迪在过弯时侧倾很厉害|WAV/G1106/G1106_0372.wav|北京秀水街在哪
G1106_0306|到达武安后转乘什么车去京娘湖|WAV/G1106/G1106_0422.wav|罗曼蒂克是什么啊
G1106_0410|在百度知道里怎么做算作弊嘞|WAV/G1106/G1106_0485.wav|什么叫静压差
G1106_0486|手机电池长时间不用是否需要充电再存放|WAV/G1106/G1106_0501.wav|海子是怎么死的啊
G1108_0019|中科院地理所考研究旅游管理专业嘛|WAV/G1108/G1108_0096.wav|艾滋病的传染途径有哪些
G1108_0040|白芷，白白伏苓是什么绿豆粉中药嘛在哪儿买|WAV/G1108/G1108_0219.wav|为啥子午后常下雨
G1108_0222|人为啥子会晕车怎“啷个”【怎么】减轻晕车感除了吃药|WAV/G1108/G1108_0234.wav|地中海贫血几时有得救
G1108_0346|个人可以为自己办理外来人员综合保险吗|WAV/G1108/G1108_0262.wav|处女座男生和魔蝎座女生
G1108_0366|“啷个”【怎么】向亚洲新星到计划投剧本|WAV/G1108/G1108_0591.wav|几米漫画有一个叫苹果的小孩嘛
